case_id,case_type,alpha_elapsed_ms,baseline_elapsed_ms,speedup,alpha_candidate_rules,baseline_candidate_rules,filter_ratio
complete_0079,complete,0.009958050213754177,2.2953340085223317,230.50034487192977,12,5121,0.0023432923257176333
complete_0080,complete,0.0118750031106174,2.245333045721054,189.08062800535265,14,5121,0.0027338410466705722
complete_0081,complete,0.0118750031106174,2.1970420493744314,185.01401885192465,14,5121,0.0027338410466705722
complete_0082,complete,0.013625016435980797,2.197915979195386,161.31473965720537,17,5121,0.0033196641280999807
complete_0083,complete,0.010209041647613049,2.1870420314371586,214.22598779862022,12,5121,0.0023432923257176333
complete_0084,complete,0.01004204386845231,2.183999982662499,217.48560465102798,12,5121,0.0023432923257176333
complete_0085,complete,0.007916998583823442,2.22416699398309,280.9356311529045,8,5121,0.0015621948838117556
complete_0086,complete,0.010583957191556692,2.212124993093312,209.00736398083936,12,5121,0.0023432923257176333
complete_0087,complete,0.0072499969974160194,2.234665967989713,308.2299163415065,8,5121,0.0015621948838117556
complete_0088,complete,0.0072080292738974094,2.18250002944842,302.78734263080116,8,5121,0.0015621948838117556
complete_0089,complete,0.013083976227790117,2.180707990191877,166.67012781329382,15,5121,0.0029291154071470417
complete_0090,complete,0.007207971066236496,2.224041963927448,308.55312035661217,8,5121,0.0015621948838117556
complete_0091,complete,0.011499971151351929,2.1182920318096876,184.19976919339163,8,5121,0.0015621948838117556
complete_0092,complete,0.007833004929125309,2.126166014932096,271.43682841643755,8,5121,0.0015621948838117556
complete_0093,complete,0.012458011042326689,2.1530420053750277,172.8238960504983,12,5121,0.0023432923257176333
complete_0094,complete,0.007916998583823442,2.138499985449016,270.1149890084036,8,5121,0.0015621948838117556
complete_0095,complete,0.007499998901039362,2.1385420113801956,285.138976631561,8,5121,0.0015621948838117556
complete_0096,complete,0.008375034667551517,2.1109170047566295,252.04874827984042,9,5121,0.0017574692442882249
complete_0097,complete,0.007499998901039362,2.1242909715510905,283.2388377092566,8,5121,0.0015621948838117556
complete_0098,complete,0.009041978046298027,2.1264590322971344,235.17631002961247,10,5121,0.0019527436047646943
complete_0099,complete,0.008207978680729866,2.1743749966844916,264.90992255978216,9,5121,0.0017574692442882249
complete_0100,complete,0.0077909789979457855,2.209374972153455,283.5811741677126,8,5121,0.0015621948838117556
